1,Time,Displacement,Force
,(s),(mm),(kN)
"","0.0000","0.0000","0.5246"
"","0.0200","0.0001","0.5252"
"","0.0400","0.0013","0.5266"
"","0.0600","0.0041","0.5344"
"","0.0800","0.0083","0.5524"
"","0.1000","0.0128","0.5723"
"","0.1200","0.0171","0.5855"
"","0.1400","0.0209","0.5933"
"","0.1600","0.0244","0.5975"
"","0.1800","0.0279","0.6011"
"","0.2000","0.0312","0.6039"
"","0.2200","0.0345","0.6058"
"","0.2400","0.0380","0.6071"
"","0.2600","0.0415","0.6078"
"","0.2800","0.0448","0.6086"
"","0.3000","0.0482","0.6090"
"","0.3200","0.0516","0.6093"
"","0.3400","0.0550","0.6099"
"","0.3600","0.0581","0.6098"
"","0.3800","0.0616","0.6100"
"","0.4000","0.0649","0.6108"
"","0.4200","0.0682","0.6111"
"","0.4400","0.0715","0.6114"
"","0.4600","0.0749","0.6115"
"","0.4800","0.0784","0.6122"
"","0.5000","0.0816","0.6129"
"","0.5200","0.0850","0.6133"
"","0.5400","0.0884","0.6139"
"","0.5600","0.0916","0.6143"
"","0.5800","0.0949","0.6146"
"","0.6000","0.0983","0.6150"
"","0.6200","0.1017","0.6158"
"","0.6400","0.1049","0.6164"
"","0.6600","0.1082","0.6163"
"","0.6800","0.1116","0.6167"
"","0.7000","0.1150","0.6173"
"","0.7200","0.1182","0.6174"
"","0.7400","0.1216","0.6172"
"","0.7600","0.1251","0.6174"
"","0.7800","0.1283","0.6176"
"","0.8000","0.1316","0.6176"
"","0.8200","0.1350","0.6181"
"","0.8400","0.1384","0.6187"
"","0.8600","0.1416","0.6186"
"","0.8800","0.1449","0.6187"
"","0.9000","0.1484","0.6188"
"","0.9200","0.1516","0.6187"
"","0.9400","0.1549","0.6187"
"","0.9600","0.1583","0.6189"
"","0.9800","0.1617","0.6192"
"","1.0000","0.1648","0.6189"
"","1.0200","0.1682","0.6186"
"","1.0400","0.1717","0.6188"
"","1.0600","0.1749","0.6191"
"","1.0800","0.1783","0.6194"
"","1.1000","0.1816","0.6195"
"","1.1200","0.1850","0.6199"
"","1.1400","0.1882","0.6196"
"","1.1600","0.1916","0.6194"
"","1.1800","0.1949","0.6198"
"","1.2000","0.1983","0.6198"
"","1.2200","0.2015","0.6195"
"","1.2400","0.2049","0.6194"
"","1.2600","0.2084","0.6192"
"","1.2800","0.2116","0.6191"
"","1.3000","0.2150","0.6190"
"","1.3200","0.2184","0.6195"
"","1.3400","0.2218","0.6195"
"","1.3600","0.2249","0.6195"
"","1.3800","0.2283","0.6198"
"","1.4000","0.2317","0.6200"
"","1.4200","0.2349","0.6201"
"","1.4400","0.2383","0.6196"
"","1.4600","0.2416","0.6195"
"","1.4800","0.2450","0.6200"
"","1.5000","0.2482","0.6198"
"","1.5200","0.2516","0.6194"
"","1.5400","0.2550","0.6199"
"","1.5600","0.2584","0.6201"
"","1.5800","0.2616","0.6204"
"","1.6000","0.2651","0.6204"
"","1.6200","0.2685","0.6207"
"","1.6400","0.2716","0.6204"
"","1.6600","0.2750","0.6200"
"","1.6800","0.2784","0.6204"
"","1.7000","0.2818","0.6206"
"","1.7200","0.2849","0.6202"
"","1.7400","0.2883","0.6202"
"","1.7600","0.2918","0.6203"
"","1.7800","0.2949","0.6206"
"","1.8000","0.2983","0.6207"
"","1.8200","0.3017","0.6206"
"","1.8400","0.3051","0.6211"
"","1.8600","0.3083","0.6211"
"","1.8800","0.3117","0.6215"
"","1.9000","0.3151","0.6220"
"","1.9200","0.3183","0.6220"
"","1.9400","0.3216","0.6220"
"","1.9600","0.3250","0.6223"
"","1.9800","0.3284","0.6225"
"","2.0000","0.3316","0.6222"
"","2.0200","0.3350","0.6221"
"","2.0400","0.3384","0.6223"
"","2.0600","0.3417","0.6222"
"","2.0800","0.3449","0.6222"
"","2.1000","0.3483","0.6224"
"","2.1200","0.3517","0.6230"
"","2.1400","0.3549","0.6232"
"","2.1600","0.3583","0.6231"
"","2.1800","0.3618","0.6231"
"","2.2000","0.3651","0.6237"
"","2.2200","0.3683","0.6240"
"","2.2400","0.3717","0.6237"
"","2.2600","0.3751","0.6235"
"","2.2800","0.3783","0.6240"
"","2.3000","0.3816","0.6241"
"","2.3200","0.3850","0.6243"
"","2.3400","0.3884","0.6246"
"","2.3600","0.3916","0.6248"
"","2.3800","0.3950","0.6252"
"","2.4000","0.3984","0.6251"
"","2.4200","0.4017","0.6254"
"","2.4400","0.4050","0.6252"
"","2.4600","0.4084","0.6252"
"","2.4800","0.4117","0.6254"
"","2.5000","0.4149","0.6255"
"","2.5200","0.4183","0.6255"
"","2.5400","0.4217","0.6258"
"","2.5600","0.4250","0.6264"
"","2.5800","0.4283","0.6266"
"","2.6000","0.4316","0.6267"
"","2.6200","0.4351","0.6267"
"","2.6400","0.4383","0.6269"
"","2.6600","0.4417","0.6270"
"","2.6800","0.4451","0.6270"
"","2.7000","0.4484","0.6274"
"","2.7200","0.4516","0.6273"
"","2.7400","0.4551","0.6275"
"","2.7600","0.4584","0.6280"
"","2.7800","0.4616","0.6281"
"","2.8000","0.4650","0.6277"
"","2.8200","0.4684","0.6279"
"","2.8400","0.4717","0.6285"
"","2.8600","0.4749","0.6283"
"","2.8800","0.4783","0.6284"
"","2.9000","0.4817","0.6287"
"","2.9200","0.4849","0.6288"
"","2.9400","0.4883","0.6285"
"","2.9600","0.4918","0.6287"
"","2.9800","0.4951","0.6294"
"","3.0000","0.4983","0.6297"
"","3.0200","0.5017","0.6296"
"","3.0400","0.5051","0.6298"
"","3.0600","0.5083","0.6299"
"","3.0800","0.5116","0.6297"
"","3.1000","0.5151","0.6299"
"","3.1200","0.5185","0.6302"
"","3.1400","0.5217","0.6302"
"","3.1600","0.5251","0.6304"
"","3.1800","0.5285","0.6304"
"","3.2000","0.5318","0.6306"
"","3.2200","0.5350","0.6306"
"","3.2400","0.5384","0.6305"
"","3.2600","0.5418","0.6306"
"","3.2800","0.5449","0.6308"
"","3.3000","0.5483","0.6311"
"","3.3200","0.5517","0.6315"
"","3.3400","0.5551","0.6322"
"","3.3600","0.5582","0.6319"
"","3.3800","0.5616","0.6316"
"","3.4000","0.5651","0.6320"
"","3.4200","0.5683","0.6324"
"","3.4400","0.5716","0.6325"
"","3.4600","0.5751","0.6327"
"","3.4800","0.5785","0.6330"
"","3.5000","0.5816","0.6333"
"","3.5200","0.5851","0.6332"
"","3.5400","0.5885","0.6337"
"","3.5600","0.5918","0.6341"
"","3.5800","0.5949","0.6343"
"","3.6000","0.5983","0.6339"
"","3.6200","0.6017","0.6339"
"","3.6400","0.6049","0.6342"
"","3.6600","0.6083","0.6343"
"","3.6800","0.6116","0.6351"
"","3.7000","0.6150","0.6355"
"","3.7200","0.6182","0.6352"
"","3.7400","0.6216","0.6357"
"","3.7600","0.6251","0.6358"
"","3.7800","0.6282","0.6360"
"","3.8000","0.6316","0.6361"
"","3.8200","0.6351","0.6361"
"","3.8400","0.6384","0.6365"
"","3.8600","0.6416","0.6369"
"","3.8800","0.6450","0.6370"
"","3.9000","0.6484","0.6371"
"","3.9200","0.6516","0.6370"
"","3.9400","0.6549","0.6373"
"","3.9600","0.6584","0.6377"
"","3.9800","0.6618","0.6378"
"","4.0000","0.6649","0.6381"
"","4.0200","0.6683","0.6382"
"","4.0400","0.6718","0.6384"
"","4.0600","0.6750","0.6386"
"","4.0800","0.6783","0.6384"
"","4.1000","0.6817","0.6386"
"","4.1200","0.6851","0.6392"
"","4.1400","0.6883","0.6391"
"","4.1600","0.6916","0.6392"
"","4.1800","0.6950","0.6394"
"","4.2000","0.6984","0.6398"
"","4.2200","0.7016","0.6401"
"","4.2400","0.7050","0.6403"
"","4.2600","0.7084","0.6407"
"","4.2800","0.7116","0.6410"
"","4.3000","0.7150","0.6409"
"","4.3200","0.7184","0.6408"
"","4.3400","0.7218","0.6407"
"","4.3600","0.7249","0.6408"
"","4.3800","0.7284","0.6411"
"","4.4000","0.7318","0.6417"
"","4.4200","0.7349","0.6419"
"","4.4400","0.7383","0.6416"
"","4.4600","0.7417","0.6420"
"","4.4800","0.7451","0.6424"
"","4.5000","0.7483","0.6421"
"","4.5200","0.7517","0.6420"
"","4.5400","0.7551","0.6427"
"","4.5600","0.7583","0.6432"
"","4.5800","0.7616","0.6432"
"","4.6000","0.7650","0.6435"
"","4.6200","0.7684","0.6437"
"","4.6400","0.7716","0.6434"
"","4.6600","0.7750","0.6433"
"","4.6800","0.7784","0.6433"
"","4.7000","0.7817","0.6439"
"","4.7200","0.7849","0.6441"
"","4.7400","0.7883","0.6440"
"","4.7600","0.7917","0.6443"
"","4.7800","0.7949","0.6448"
"","4.8000","0.7984","0.6448"
"","4.8200","0.8018","0.6450"
"","4.8400","0.8051","0.6454"
"","4.8600","0.8083","0.6455"
"","4.8800","0.8117","0.6456"
"","4.9000","0.8151","0.6457"
"","4.9200","0.8183","0.6457"
"","4.9400","0.8216","0.6457"
"","4.9600","0.8250","0.6462"
"","4.9800","0.8284","0.6465"
"","5.0000","0.8316","0.6462"
"","5.0200","0.8350","0.6465"
"","5.0400","0.8384","0.6475"
"","5.0600","0.8417","0.6476"
"","5.0800","0.8449","0.6470"
"","5.1000","0.8483","0.6470"
"","5.1200","0.8518","0.6474"
"","5.1400","0.8549","0.6478"
"","5.1600","0.8583","0.6481"
"","5.1800","0.8617","0.6483"
"","5.2000","0.8651","0.6486"
"","5.2200","0.8682","0.6487"
"","5.2400","0.8716","0.6490"
"","5.2600","0.8751","0.6491"
"","5.2800","0.8783","0.6493"
"","5.3000","0.8816","0.6491"
"","5.3200","0.8850","0.6494"
"","5.3400","0.8884","0.6496"
"","5.3600","0.8916","0.6497"
"","5.3800","0.8951","0.6499"
"","5.4000","0.8985","0.6503"
"","5.4200","0.9017","0.6507"
"","5.4400","0.9050","0.6506"
"","5.4600","0.9084","0.6507"
"","5.4800","0.9118","0.6509"
"","5.5000","0.9149","0.6516"
"","5.5200","0.9183","0.6518"
"","5.5400","0.9218","0.6520"
"","5.5600","0.9250","0.6522"
"","5.5800","0.9283","0.6522"
"","5.6000","0.9317","0.6523"
"","5.6200","0.9351","0.6532"
"","5.6400","0.9383","0.6535"
"","5.6600","0.9416","0.6526"
"","5.6800","0.9450","0.6526"
"","5.7000","0.9483","0.6532"
"","5.7200","0.9515","0.6532"
